1 2 3 4 5 6 7
1 2 5 2 5 6 7
1 2 5 2 8 2 7
1 2 5 2 8 6 7
1 2 5 6 5 2 7
1 2 5 6 5 4 7
1 2 5 6 8 2 7
1 2 5 6 8 6 7
1 2 5 6 8 4 7
1 2 5 4 5 6 7
1 2 5 4 8 6 7
1 2 5 4 8 4 7
1 2 5 4 8 9 7
1 2 5 9 8 4 7
1 2 8 2 5 2 7
1 2 8 2 5 6 7
1 2 8 2 8 6 7
1 2 8 2 10 2 7
1 2 8 2 10 6 7
1 2 8 6 5 2 7
1 2 8 6 5 6 7
1 2 8 6 5 4 7
1 2 8 6 8 2 7
1 2 8 6 8 4 7
1 2 8 6 10 2 7
1 2 8 6 10 6 7
1 2 8 6 10 4 7
1 2 8 4 5 6 7
1 2 8 4 5 4 7
1 2 8 4 8 6 7
1 2 8 4 8 9 7
1 2 8 4 10 6 7
1 2 8 4 10 4 7
1 2 8 4 10 9 7
1 2 8 9 5 4 7
1 2 8 9 8 4 7
1 2 8 9 10 4 7
1 2 8 9 10 9 7
1 2 8 9 10 11 7
1 2 8 11 10 9 7
1 2 10 2 8 2 7
1 2 10 2 8 6 7
1 2 10 2 10 6 7
1 2 10 2 12 2 7
1 2 10 2 12 6 7
1 2 10 6 8 2 7
1 2 10 6 8 6 7
1 2 10 6 8 4 7
1 2 10 6 10 2 7
1 2 10 6 10 4 7
1 2 10 6 12 2 7
1 2 10 6 12 6 7
1 2 10 6 12 4 7
1 2 10 4 8 6 7
1 2 10 4 8 4 7
1 2 10 4 8 9 7
1 2 10 4 10 6 7
1 2 10 4 10 9 7
1 2 10 4 12 6 7
1 2 10 4 12 4 7
1 2 10 4 12 9 7
1 2 10 9 8 4 7
1 2 10 9 8 9 7
1 2 10 9 10 4 7
1 2 10 9 10 11 7
1 2 10 9 12 4 7
1 2 10 9 12 9 7
1 2 10 9 12 11 7
1 2 10 11 8 9 7
1 2 10 11 10 9 7
1 2 10 11 12 9 7
1 2 10 11 12 11 7
1 2 10 11 12 13 7
1 2 10 13 12 11 7
1 2 12 2 10 2 7
1 2 12 2 10 6 7
1 2 12 2 12 6 7
1 2 12 2 14 2 7
1 2 12 2 14 6 7
1 2 12 6 10 2 7
1 2 12 6 10 6 7
1 2 12 6 10 4 7
1 2 12 6 12 2 7
1 2 12 6 12 4 7
1 2 12 6 14 2 7
1 2 12 6 14 6 7
1 2 12 6 14 4 7
1 2 12 4 10 6 7
1 2 12 4 10 4 7
1 2 12 4 10 9 7
1 2 12 4 12 6 7
1 2 12 4 12 9 7
1 2 12 4 14 6 7
1 2 12 4 14 4 7
1 2 12 4 14 9 7
1 2 12 9 10 4 7
1 2 12 9 10 9 7
1 2 12 9 10 11 7
1 2 12 9 12 4 7
1 2 12 9 12 11 7
1 2 12 9 14 4 7
1 2 12 9 14 9 7
1 2 12 9 14 11 7
1 2 12 11 10 9 7
1 2 12 11 10 11 7
1 2 12 11 12 9 7
1 2 12 11 12 13 7
1 2 12 11 14 9 7
1 2 12 11 14 11 7
1 2 12 11 14 13 7
1 2 12 13 10 11 7
1 2 12 13 12 11 7
1 2 12 13 14 11 7
1 2 12 13 14 13 7
1 2 12 13 14 15 7
1 2 12 15 14 13 7
1 2 14 2 12 2 7
1 2 14 2 12 6 7
1 2 14 2 14 6 7
1 2 14 2 16 2 7
1 2 14 2 16 6 7
1 2 14 6 12 2 7
1 2 14 6 12 6 7
1 2 14 6 12 4 7
1 2 14 6 14 2 7
1 2 14 6 14 4 7
1 2 14 6 16 2 7
1 2 14 6 16 6 7
1 2 14 6 16 4 7
1 2 14 4 12 6 7
1 2 14 4 12 4 7
